Disease_Name,Disease_Description,Species,Breed,Symptoms,Prevention_Measures
Congenital Heart Defects,"congenital heart defects, affecting the heart's structure and function.",dog,Bull Terrier,"Fatigue, coughing, difficulty breathing, and exercise intolerance.","Regular veterinary check-ups, heart screenings, and a healthy diet."
Dermatitis (Skin Infections),"dogs can be prone to skin infections due to their dense double coat,skin folds and coat density.",dog,Indian Spitz,"Itching, redness, hair loss, and skin odor."," Regular grooming, cleaning ears, and prompt treatment of skin issues."
Hip Dysplasia,"a genetic condition where the hip joint doesn't develop properly, leading to joint instability and potential arthritis.",dog,Labrador Retriever,"Difficulty in getting up or climbing stairs, Hind limb lameness","Maintain a healthy weight to reduce stress on the hip joints,Provide a balanced diet,Regular exercise"
Tick Fever ,"Tick fever is a bacterial infection transmitted by ticks. Mostly seen in outdoor dogs, may be exposed to ticks.",dog,Mudhol hound,"Fever, Lethargy, Loss of appetite","Regular tick checks and removal, Tick prevention through collars or spot-on treatments."
Osteosarcoma (Bone Cancer),"Rampur Greyhounds, like many large breeds, may be predisposed to osteosarcoma, a form of bone cancer.",dog,Rampur Greyhound,"Lameness or limping, Swelling around joints, Pain, especially during movement","Regular veterinary check-ups, Providing a balanced diet with proper nutrition"
Ear Infections,"Dogs with floppy ears, like Beagles, are prone to ear infections due to reduced air circulation. Moisture and wax buildup can lead to bacterial or yeast infections.",dog,Beagle,"Scratching or rubbing ears, Redness or swelling, Unpleasant odor from the ears","Regular ear checks and cleaning as needed, Avoiding excessive moisture in the ears"
Brachycephalic Obstructive Airway Syndrome (BOAS),"BOAS is a respiratory condition common in brachycephalic (short-nosed) breeds like Pugs. Their unique anatomy can lead to breathing difficulties.",dog,Pug,"Noisy or labored breathing, Snoring, Difficulty exercising or overheating","Maintaining a healthy weight to reduce strain on the respiratory system, Avoiding strenuous exercise in hot weather,Providing a well-ventilated environment."
Degenerative Myelopathy,"Degenerative myelopathy is a progressive spinal cord disease that affects the hind limbs. It is more common in older German Shepherds.",dog,German Shepherd,"Hind limb weakness,Difficulty walking, Dragging of the hind feet","Regular exercise to maintain muscle strength, Genetic testing for predisposition"
Canine Ehrlichiosis,"It is caused by the Ehrlichia bacteria transmitted through the bite of infected ticks.",dog,Kombai,"Fever, Lethargy, Loss of appetite,swollen lymph nodes,tired dog","Regularly use tick preventive measures, such as anti-tick collars,Ensure your dog is up-to-date on vaccinations, including those for tick-borne diseases, Keep the dog's living area clean"
Patellar Luxation,"Dislocation of the kneecap",dog,Pomeranian,"Limping, intermittent lameness, and difficulty extending the hind leg.","Regular exercise, maintaining a healthy weight, and avoiding excessive jumping."
Parvovirus Infection,"highly contagious viral disease affecting dogs, including Indian Pariah dogs.",dog,Indian Pariah Dog,"vomiting,Dehydration,Refusal to eat or drink,weight loss.","vaccination,Isolate infected dogs,Avoid Contaminated Areas,"
Rabies,"A viral disease affecting the nervous system, often fatal",dog,Indian Pariah Dog,"Behavioral Changes,Fever,Dilated pupils,Vaccination is recommended."
Demodectic Mange,"Demodectic mange is a skin condition caused by mites, leading to hair loss and skin irritation.",dog,Bull Terrier,"Hair loss, redness, itching, and skin infections.","Good hygiene, regular grooming, and prompt veterinary care for skin issues."
Deafness,"may have a genetic predisposition to deafness.",dog,Bull Terrier,"Lack of response to sounds, difficulty waking up.","Responsible breeding practices, screening for hearing issues."
Obesity,"Bully Kuttas can be prone to obesity, which can contribute to various health issues.",dog,bully kutta,"Weight gain, difficulty moving, lethargy","Balanced diet, regular exercise, portion control."
Elbow Dysplasia,"involves abnormal development of the elbow joint, causing pain and lameness. It's a hereditary condition that can affect both front legs.",dog,Labrador Retriever,"Limping or favoring one front leg, Reluctance to use a particular limb, Pain or discomfort when the affected elbow","Controlled growth during puppyhood with a balanced diet.
Avoid excessive jumping, especially on hard surfaces."
Progressive Retinal Atrophy (PRA), PRA is a group of genetic eye disorders leading to the degeneration of the retina.,dog,Labrador Retriever,"Night blindness, Dilated pupils, Loss of peripheral vision.","Regular eye check-ups by a veterinary ophthalmologist, Avoid breeding dogs with a family history of PRA"
Ear Infections,"Labradors, with their floppy ears, can be prone to ear infections. These infections are often caused by bacteria or yeast.",dog,Labrador Retriever,"Scratching or rubbing the ears, Foul odor from the ears, Redness or swelling of the ear canal.","Regular cleaning of the ears, especially after swimming,Avoid moisture accumulation in the ear canal."
Skin Infections,"Dogs, with their short coats, can be susceptible to skin infections.",dog,Mudhol hound,"Itching and scratching, Redness or inflammation, Hair loss or skin lesions","Regular grooming to keep the coat clean, Prompt treatment of any skin issues."
Gastrointestinal Issues,"dogs may be sensitive to dietary changes, leading to gastrointestinal problems.",dog,Mudhol hound,"Vomiting, Diarrhea, Abdominal discomfort","Gradual introduction of new foods, High-quality, easily digestible diet."
tartar buildup,"dental issue",dog,Mudhol hound,"Bad breath, Difficulty chewing,Red or swollen gums","Regular dental care, including brushing, roviding dental chews or toys."
Heartworm Disease,"Heartworm disease is transmitted through mosquito bites, and Greyhounds may be susceptible.",dog,rampur Greyhound,"Coughing,Difficulty breathing, Lethargy","Regular use of veterinarian-prescribed heartworm preventives,Mosquito control measures"
Periodontal Disease,"Dental problem.",dog,Rampur Greyhound,"Bad breath, Red or swollen gums, Difficulty eating","Regular dental care, including brushing,Providing dental treats or toys."
Bladder Stones,"Beagles may be predisposed to developing bladder stones, which are mineral formations in the urinary tract. Diet and genetics can play a role.",dog,Beagle,"Straining to urinate, Blood in urine, Frequent urination","Providing a balanced and appropriate diet, Ensuring access to fresh water."
Cherry Eye,"Cherry eye is a condition where the gland of the third eyelid protrudes, appearing as a red mass in the corner of the eye.",dog,Beagle,"Red, swollen mass in the eye,Excessive tearing",Surgical correction if necessary
Hypothyroidism,"Beagles may be susceptible to hypothyroidism, a condition where the thyroid gland doesn't produce enough hormones.",dog,Beagle,"Weight gain, Lethargy,Skin and coat problems","Regular veterinary check-ups, Monitoring thyroid function."
Entropion,"a condition where the eyelid rolls inward, causing the hair on the surface of the eyelid to rub against the cornea. This can lead to irritation and discomfort.",dog,Pug,"Excessive tearing, Squinting or blinking, Redness and inflammation of the eye",Surgical correction may be necessary
Patellar Luxation,"Patellar luxation occurs when the kneecap (patella) dislocates from its normal position, causing lameness and discomfort.",dog,pug,"Intermittent limping, Skipping or hopping on one hind leg, Reluctance to bear weight on the affected leg","Regular veterinary check-ups,Monitoring weight and providing joint supplements if advised."
Exocrine Pancreatic Insufficiency ,"EPI occurs when the pancreas fails to produce enough digestive enzymes, leading to malabsorption of nutrients.",dog,German Shepherd,"Weight loss, Diarrhea, Increased appetite","Proper nutrition with enzyme supplementation as needed, Regular veterinary check-ups."
Anal Furunculosis, Anal furunculosis is a painful condition where the tissue around the anus becomes inflamed and infected.,dog,German Shepherd,"Scooting or dragging the rear, Pain during bowel movements, Swelling and redness around the anus","Good hygiene practices, Dietary management to support gut health"
Canine Distemper,"A viral disease affecting the respiratory, gastrointestinal, and nervous systems.",dog,Kombai,"Coughing, nasal discharge, fever, and neurological signs","Vaccination, avoiding contact with infected animals, and regular vet visits."
Leptospirosis,A bacterial infection transmitted through contaminated water or soil.,dog,Kombai,"Fever, muscle pain, vomiting, and kidney/liver involvement.","Vaccination, avoiding stagnant water, and rodent control."
Dermatitis,"Various skin infections caused by bacteria, fungi, or parasites.",dog,Kombai,"Itching, redness, hair loss, and skin lesions","Regular grooming, parasite control, and maintaining good skin hygiene."
Hypothyroidism,A hormonal disorder resulting from an underactive thyroid gland.,dog,Kombai,"Weight gain, lethargy, hair loss, and skin issues.","Regular vet check-ups, a balanced diet, and early detection through blood tests."
Tracheal Collapse,"Weakening of the tracheal cartilage, leading to breathing difficulties.",dog,Pomeranian,"Coughing,honking sound,and respiratory distress","Using a harness instead of a collar, avoiding exposure to irritants, and weight management."
Hypoglycemia, Low blood sugar levels.,dog,Pomeranian," Weakness, tremors, seizures, and disorientation."," Regular feeding schedule, providing balanced meals, and monitoring blood sugar levels."
Allergies,"Sensitivity or allergic reactions to certain foods, substances, or environmental factors.",dog,Pomeranian,"Itching, skin irritation, redness, and digestive issues.","Identifying and avoiding allergens, providing hypoallergenic diets, and regular vet check-ups."
Feline Upper Respiratory Infection,URI is a common infectious disease affecting the respiratory system in cats. It can be caused by viruses like feline herpesvirus and feline calicivirus.,cat,indian billi,"Sneezing, Nasal discharge, Coughing,Watery eyes,Lack of appetite","Vaccination against common respiratory viruses,Good hygiene practices to reduce the risk of transmission,Providing a stress-free environment to support the cat's immune system"
 Feline Panleukopenia,Feline Panleukopenia is a highly contagious viral disease that affects a cat's gastrointestinal tract and immune system.,cat,indian billi,"Vomiting,Diarrhea,Lethargy,Fever","Vaccination at an early age, Isolation of infected cats, Proper sanitation to prevent viral spread"
Feline Urolithiasis,"Urolithiasis involves the formation of stones in the urinary tract, causing discomfort and potential blockages.",cat,indian billi,"Straining to urinate,Blood in urine,Frequent urination,Licking genital area excessively","Adequate water intake,Balanced diet,Regular veterinary check-ups"
 Feline Leukemia Virus,FeLV is a viral infection affecting the cat's immune system.,cat,Himalayan Cat,"Weight loss,Anemia,Persistent diarrhea","Vaccination, minimizing contact with infected cats."
Feline Asthma,Respiratory condition causing inflammation of the airways.,cat,Himalayan Cat,"Coughing,Wheezing,Difficulty breathing","Environmental control, medication."
Polycystic Kidney Disease,PKD is a genetic disorder leading to the development of fluid-filled cysts in the kidneys.,cat,Persian Cat,"Increased thirst,Weight loss,Frequent urination","Genetic testing,Adequate hydration"
Cholangiohepatitis,This is an inflammatory condition affecting the liver and bile ducts.,cat,Persian Cat,"Jaundice,Vomiting,Weight loss","Regular veterinary visits,Proper nutrition"
Ringworm,"Ringworm is a fungal infection affecting the skin, fur, and occasionally, the claws.",cat,Persian Cat,"Hair loss,Red, circular skin lesions,Itching","Isolation of infected cats,Maintaining a clean environment"
Cystitis,"Cystitis involves inflammation of the bladder, leading to discomfort and difficulty urinating.",cat,Persian Cat,"Straining to urinate,Blood in urine,Urinating outside the litter box","Providing a balanced diet,Encouraging water intake"
Entropion,"Entropion is an eyelid disorder where the eyelid rolls inward, causing irritation.",cat,Persian Cat,"Squinting,Excessive tearing,Redness around the eyes","Surgical correction,Genetic screening"
Canine Leishmaniasis," Leishmaniasis is a parasitic disease transmitted by sandflies, causing systemic infections.",dog,Indian Spitz,"Skin lesions,Weight loss,Swollen lymph nodes,Lameness,Kidney failure","Insect repellents,Environmental management,Regular vet check-ups"
Canine Brucellosis,"Brucellosis is a bacterial infection affecting reproductive organs, leading to infertility.",dog,Indian Spitz,"Reproductive issues,Swollen testicles,Abortion,Lethargy","Avoidance of contact with infected animals,Screening breeding dogs"
Gastrointestinal Stasis,condition in rabbits where the normal movement of the digestive system slows down or ceases.,rabbit,Holland Lop,"Decreased or absent appetite,Reduced or no fecal output,Lethargy and inactivity,Abdominal discomfort, hunching,Gastrointestinal sounds may be reduced","Provide fresh water daily to prevent dehydration,Ensure the rabbit's diet is rich in fiber, including hay, vegetables, and limited pellets,Papaya Enzyme Tablets"
Hairballs (Trichobezoars),"Accumulation of hair in the stomach, forming a ball that can obstruct the digestive tract.",rabbit,Flemish Giant," Reduced appetite, lethargy, GI blockage.","Regular grooming, providing hay and fresh vegetables."
Gastrointestinal Upset,Upset stomach or gastrointestinal disturbance,rabbit,Netherland Dwarf,"Diarrhea, reduced appetite, lethargy.","Providing a balanced diet, avoiding sudden diet changes."
Wool Block (Trichobezoars),"Formation of hairballs in the digestive tract, causing blockages.",rabbit,Angora Rabbit,"Loss of appetite, lethargy, abdominal pain.","Regular grooming to reduce shedding, providing high-fiber diet."
Gastrointestinal Parasites,Infestation with intestinal parasites like worms.,rabbit,Mini Rex,"Weight loss, diarrhea, lethargy.","Regular deworming, maintaining a clean living environment."
Tyzzer's Disease,Bacterial infection affecting the liver.,rabbit,Jersey Wooly,"Lethargy, diarrhea, abdominal pain.","Good hygiene, proper sanitation, and avoiding stress."
Enteritis, Inflammation of the intestines.,rabbit,Lionhead Rabbit,"Diarrhea, dehydration, lethargy.","Hygienic practices, a balanced diet, and prompt veterinary care."
Calicivirus Infection,Viral infection causing respiratory and systemic issues.,rabbit,Dutch Rabbit,"Sneezing, difficulty breathing, lethargy.","Vaccination, biosecurity measures."
Heat Stroke,Overheating leading to severe physiological distress.,rabbit,Himalayan Rabbit,"Rapid breathing, lethargy, collapse.","Avoiding high temperatures, providing shade."
Pasteurellosis,"Pasteurellosis is a bacterial infection caused by Pasteurella multocida, affecting the respiratory system.",rabbit,Holland Lop,"Nasal discharge, sneezing, respiratory distress, lethargy.","Ensure a clean living environment, practice good hygiene, and isolate sick rabbits to prevent the spread."
Myxomatosis,Myxomatosis is a viral disease spread by certain mosquitoes and fleas.,rabbit,Holland Lop,"Swelling, discharge from eyes and nose, lethargy, difficulty eating."," Minimize exposure to insects, use preventive measures like mosquito nets, and keep rabbits indoors during peak mosquito activity."
Ear Mites (Ear Canker),Ear mites are tiny parasites infesting the ears.,rabbit,Holland Lop,"Head shaking, scratching at ears, ear discharge.","Regularly clean and inspect ears, isolate affected rabbits, and maintain a clean living environment."
Encephalitozoonosis (Head Tilt),"Encephalitozoonosis is caused by a microscopic parasite affecting the nervous system, often resulting in a head tilt.",rabbit,Holland Lop,"Head tilt, loss of balance, abnormal posture, difficulty moving","Maintain proper hygiene, avoid overcrowding, and provide a balanced diet to support overall health."
Coccidiosis,"Caused by the protozoan parasite Eimeria, leading to intestinal inflammation and diarrhea.",rabbit,Flemish Giant,"Diarrhea, lethargy, reduced appetite.","Clean living conditions, proper hygiene, and avoiding overcrowding."
Tularemia,"A bacterial infection caused by Francisella tularensis, leading to fever and swollen lymph nodes.",rabbit,Flemish Giant,"Lethargy, swollen lymph nodes, fever.","Reducing exposure to vectors, such as ticks and fleas."
Urinary Tract Infection (UTI),Bacterial infection affecting the urinary system.,rabbit,Flemish Giant,"Straining to urinate, blood in urine, reduced appetite.","Adequate hydration, maintaining a clean living environment."
Dermatophytosis (Ringworm),Fungal infection causing skin lesions.,rabbit,Netherland Dwarf,"Circular bald patches, scaly skin, itching","Quarantine new rabbits, maintain cleanliness, and seek veterinary treatment."
Dental Problems,Dental issues such as overgrown teeth or malocclusion.,rabbit,Netherland Dwarf," Difficulty eating, drooling, weight loss.","Providing a proper diet with sufficient fiber, regular dental check-ups."
 Urolithiasis (Bladder Stones), Formation of mineral stones in the urinary tract.,rabbit,Netherland Dwarf,"Straining to urinate, blood in urine, lethargy.","Offering a balanced diet, ensuring access to fresh water."
Snuffles (Pneumonia),Bacterial respiratory infection caused by Pasteurella multocida.,rabbit,Netherland Dwarf,"Sneezing, nasal discharge, labored breathing.","Good ventilation, hygiene, and prompt treatment of respiratory symptoms."
Flystrike (Myiasis),"Infestation of fly larvae in the fur, usually in dirty or moist conditions.",rabbit,Angora Rabbit,"Restlessness, foul odor, visible maggots.","Keeping the rabbit's living area clean, checking for signs of flystrike regularly."
Rabbit Hemorrhagic Disease (RHD),Viral infection causing internal bleeding and high mortality.,rabbit,Angora Rabbit,"Sudden death, lethargy, respiratory distress.","Vaccination, biosecurity measures to prevent exposure."
Thymoma,"Tumor of the thymus gland, impacting the immune system.",rabbit,Jersey Wooly,"Labored breathing, weight loss, weakness.",Regular veterinary check-ups.
Fur Mites (Cheyletiellosis), Infestation of mites in the fur.,rabbit,Jersey Wooly,"Itching, hair loss, skin irritation.","Regular grooming, keeping the living environment clean."
Abscesses,infection leading to the formation of pus-filled pockets under the skin.,rabbit,Lionhead Rabbit,"Swelling, pain, discharge.","Maintaining good hygiene, addressing wounds promptly."
 Sore Hocks (Pododermatitis),Inflammation and sores on the rabbit's hind feet.,rabbit,Lionhead Rabbit,"Swelling, redness, sores on foot pads.","Providing soft bedding, maintaining cleanliness."
Tularemia (Rabbit Fever),Bacterial infection causing fever and systemic symptoms,rabbit,Lionhead Rabbit,"Fever, lethargy, swollen lymph nodes.","Avoiding contact with wild animals, tick control."
 Lagomorph Herpesvirus,Viral infection causing severe internal bleeding.,rabbit,Dutch Rabbit,"Sudden death, fever, respiratory distress.","Vaccination, strict biosecurity."
Malocclusion,Dental problem where teeth don't align properly.,rabbit,Dutch Rabbit,"Drooling, difficulty eating, weight loss.","Providing appropriate chew items, regular dental checkups."
Adenocarcinoma,Cancer affecting the uterus.,rabbit,Dutch Rabbit,"Vaginal bleeding, lethargy, loss of appetite.",Spaying female rabbits.
Himalayan Fur Mite Infestation, Parasitic mites affecting the fur and skin.,rabbit,Himalayan Rabbit,"Itching, hair loss, skin inflammation.","Regular grooming, veterinary-approved parasite control."
Cecal Dysbiosis,Imbalance in the cecal flora affecting digestion.,rabbit,Himalayan Rabbit," Diarrhea, soft feces, abdominal discomfort.","Balanced diet, access to fresh hay, limited sugary treats"
Diabetes,Metabolic disorder affecting blood sugar levels.,hamster,Syrian Hamster,"Excessive thirst, increased urination, weight loss."," Provide a balanced diet, monitor sugar intake."
Molar Overgrowth,"Overgrowth of molars in hamsters, leading to dental issues.",hamster,Dwarf Campbell Russian Hamster,"Difficulty eating, weight loss, drooling.","Provide chew toys, ensure a balanced diet."
Malocclusion,Misalignment of teeth causing dental issues.,hamster,Dwarf Winter White Russian Hamster ,"Difficulty eating, weight loss, overgrown incisors.","Regularly provide chew toys, consult a vet for dental trimming."
Bladder Stones,Formation of mineral deposits in the bladder.,hamster,Roborovski Dwarf Hamster,"Straining to urinate, blood in urine, pain.","Encourage water intake, provide a balanced diet."
Mites or Lice, External parasites that can cause itching and discomfort.,hamster,Chinese Hamster,"Scratching, fur loss, visible parasites."," Keep the cage clean, and regularly check your hamster."
Respiratory Infections," Infections affecting the respiratory system, often due to poor living conditions.",hamster,Chinese Hamster,"Labored breathing, sneezing, nasal discharge.",Maintain a clean cage and avoid drafts.
Wet Tail,"A bacterial infection causing diarrhea, often seen in stressed hamsters.",hamster,Chinese Hamster,"Wet and soiled tail, lethargy, hunched posture.",Provide a stress-free environment with clean bedding.
Tumors,Abnormal cell growth leading to the formation of tumors.,hamster,Chinese Hamster,"Lump or swelling, weight loss, changes in behavior.","Regular health checks, a balanced diet."
Digestive Issues,"Problems related to the digestive system, such as constipation or diarrhea.",hamster,Syrian Hamster,"Changes in feces, lethargy, bloating.","Provide a high-fiber diet, fresh vegetables."
Eye Infections,"Infections affecting the eyes, often due to poor hygiene.",hamster,Syrian Hamster,"Red or swollen eyes, discharge.","Keep the cage clean, avoid using dusty bedding."
Heatstroke,Overheating due to high temperatures in the environment.,hamster,Syrian Hamster,"Rapid breathing, lethargy, weakness."," Ensure a well-ventilated cage, avoid direct sunlight."
Broken Limbs,"Injuries resulting in broken bones, often from falls or accidents.",hamster,Syrian Hamster,"Lameness, reluctance to move, swelling.", Provide a safe and secure cage setup.
Stress-Related Illness,Various illnesses can result from prolonged stress.,hamster,Chinese Hamster,"Changes in behavior, decreased activity, changes in eating habits.", Create a calm and secure environment.
Hamster Dehydration, Lack of sufficient water in the body.,hamster,Dwarf Campbell Russian Hamster,"Sunken eyes, lethargy, dry or sticky mouth.",Ensure a clean and accessible water source.
Kidney Disease,Chronic kidney issues affecting hamsters.,hamster,Dwarf Campbell Russian Hamster,"Changes in urine color, lethargy, reduced appetite.","Ensure proper hydration, offer fresh vegetables."
Ringworm,"Fungal infection causing circular, bald patches on the skin.",hamster,Dwarf Campbell Russian Hamster,"Hair loss, scaly skin, itching.","Antifungal ointments, isolate affected hamster."
Abscesses,"Pockets of pus, often caused by bacterial infection.",hamster,Dwarf Campbell Russian Hamster,"Swelling, discomfort, sometimes visible discharge.","Warm compresses, antibiotics as prescribed."
Constipation,"Difficulty passing stool, often due to dehydration or diet.",hamster,Dwarf Winter White Russian Hamster ,"Straining to defecate, small or absent droppings.","Provide a fiber-rich diet, ensure adequate water intake."
Pneumonia,Respiratory infection affecting the lungs.,hamster,Dwarf Winter White Russian Hamster ,"Labored breathing, nasal discharge, lethargy."," Maintain a clean environment, avoid drafts, prompt veterinary care."
Tyzzer's Disease,Bacterial infection affecting the digestive system.,hamster,Dwarf Winter White Russian Hamster ,"Diarrhea, lethargy, hunched posture.","Maintain a clean environment, isolate sick hamsters, and practice good hygiene."
Hyperthyroidism,Overactive thyroid affecting metabolism,hamster,Dwarf Winter White Russian Hamster ," Weight loss, increased activity, hair loss."," Balanced diet, regular veterinary care."
Dermatitis,Skin inflammation often due to allergies.,hamster,Roborovski Dwarf Hamster,"Itching, redness, fur loss.","Identify and remove allergens, maintain cleanliness."
Seizures,"Sudden, uncontrolled electrical activity in the brain.",hamster,Roborovski Dwarf Hamster," Uncontrollable movements, loss of consciousness.","Minimize stress, provide a safe environment."
Arthritis," Inflammation of the joints, especially common in older hamsters.",hamster,Roborovski Dwarf Hamster," Difficulty moving, stiffness, swelling."," Provide a comfortable living environment, consider joint supplements."
Respiratory Infections,Bacterial or viral infections affecting the respiratory system.,Guinea Pigs,Peruvian guinea pig,"Sneezing, coughing, nasal discharge.","Maintain a clean environment, provide proper ventilation."
Urinary Tract Infections,Infections affecting the urinary system.,guinea pigs,American Guinea pig,"Straining to urinate, blood in urine, discomfort.","Encourage hydration, offer fresh vegetables with high water content."
Fungal Infections,Skin infections caused by fungi.,guinea pigs,Teddy guinea pig,"Hair loss, scaly skin, itching.","Keep the cage clean, use antifungal shampoos prescribed by a vet."
Heat Stress,Overheating due to high temperatures.,guinea pigs,Rex guinea pig,"Rapid breathing, lethargy, weakness.","Keep the cage in a cool area, provide shade, avoid extreme temperatures."
Rectal Prolapse, Protrusion of the rectum outside the body.,Guinea Pigs,Baldwin,"Visible rectal tissue, difficulty defecating.",Consult a vet for immediate care.
Barbering,Excessive grooming leading to hair loss.,guinea pigs,Silkie guinea pig,"Patchy fur, bald spots, signs of aggression.","Identify and address potential stressors, provide enrichment activities."
Fur Mites,Infestation of mites on the skin and fur.,guinea pigs,White Crested guinea pig,"Itching, dandruff, rough coat.","Consult a vet for antiparasitic treatment, maintain cleanliness."
Dental Problems,Overgrown or misaligned teeth causing dental issues.,guinea pigs,Peruvian guinea pig,"Drooling, difficulty eating, weight loss.","Provide chew toys, offer a balanced diet with hay."
Mites or Lice, External parasites affecting the skin and fur.,guinea pigs,Peruvian guinea pig,"Itching, hair loss, visible parasites.",Use guinea pig-safe anti-parasitic treatments.
Bloat,Accumulation of gas in the digestive system.,guinea pigs,Peruvian guinea pig,"Distended abdomen, lethargy, reduced appetite."," Adjust diet, encourage gentle exercise, seek vet advice."
Scurvy,Lack of vitamin C causing health issues.,guinea pigs,Peruvian guinea pig,"Swollen joints, lethargy, rough coat.","Provide vitamin C-rich foods, supplements if necessary."
Gastrointestinal Stasis,Sluggish or slowed digestive system.,guinea pigs,American Guinea pig,"Lack of appetite, bloating, reduced fecal production.","Provide hay, encourage exercise, monitor diet."
Bladder Stones,"Formation of mineral deposits in the bladder.",guinea pigs,American Guinea pig,"Straining to urinate, blood in urine, pain.","Ensure hydration, offer a balanced diet, consult a vet for treatment."
Heat Stroke,Overheating due to high temperatures.,guinea pigs,American Guinea pig,"Rapid breathing, lethargy, weakness.","Keep the cage in a cool area, provide shade, and avoid extreme temperatures."
 Ringworm,Fungal infection causing circular skin lesions.,guinea pigs,American Guinea pig,"Red, scaly patches on the skin, itching.","Isolate infected guinea pig, use antifungal ointments prescribed by a vet."
Eye Infections,Infections affecting the eyes.,guinea pigs,Teddy guinea pig,"Red or swollen eyes, discharge.","Keep the eyes clean using a saline solution, consult a vet for appropriate eye drops."
Bumblefoot,Inflammation and infection of the feet.,guinea pigs,Teddy guinea pig,"Swollen, sore feet, difficulty walking.","Keep the cage clean, provide soft bedding, consult a vet for antibiotics."
Pneumonia,Respiratory infection affecting the lungs.,guinea pigs,Teddy guinea pig,"Labored breathing, lethargy, nasal discharge.","Keep the guinea pig warm, ensure proper ventilation, consult a vet for antibiotics."
Abscesses,"Collection of pus usually caused by bacterial infection.",guinea pigs,Teddy guinea pig,"Swelling, warmth, pain.","Keep the area clean, warm compress, consult a vet for drainage and antibiotics."
Dermatitis,"Inflammation of the skin.",guinea pigs,Teddy guinea pig,"Redness, itching, discomfort.","Use gentle shampoos, keep the cage clean, consult a vet for medicated creams."
Teeth Problems,Overgrown or misaligned teeth.,guinea pigs,Rex guinea pig,"Difficulty eating, weight loss, drooling.","Provide chew toys, offer hay, consult a vet for dental trimming."
Pododermatitis,Inflammation and sores on the foot pads.,guinea pigs,Rex guinea pig,"Redness, swelling, reluctance to walk.","Provide soft bedding, keep the cage clean, consult a vet for treatment."
Gastrointestinal Stasis, Slowing or stopping of the digestive system.,guinea pigs,Rex guinea pig,"Loss of appetite, lethargy, bloated abdomen.","Encourage hay consumption, ensure hydration, consult a vet for critical cases."
Molar Spurs,Sharp edges on molars causing discomfort.,guinea pigs,Rex guinea pig,"Difficulty eating, weight loss, drooling.","Provide chew toys, consult a vet for dental filing."
